time,account_name,cash,equity,open_positions
2024-12-05 17:30:00+00:00,account_1_no_decay,55055.28280573948,55117.926658942575,1
2024-12-05 17:35:00+00:00,account_1_no_decay,55055.28280573948,55126.112662712505,2
2024-12-05 17:40:00+00:00,account_1_no_decay,55055.28280573948,55044.790061479616,2
2024-12-05 17:45:00+00:00,account_1_no_decay,54986.46370223231,54940.553481049225,1
2024-12-05 17:50:00+00:00,account_1_no_decay,54917.55846718132,54958.30481238129,1
2024-12-05 17:55:00+00:00,account_1_no_decay,54917.55846718132,54977.60571273917,1
2024-12-05 18:00:00+00:00,account_1_no_decay,54917.55846718132,54964.738445833915,1
2024-12-05 18:05:00+00:00,account_1_no_decay,54917.55846718132,55029.8253172599,2
2024-12-05 18:10:00+00:00,account_1_no_decay,54917.55846718132,54997.283331288716,2
2024-12-05 18:15:00+00:00,account_1_no_decay,54917.55846718132,55043.52720608988,2
2024-12-05 18:20:00+00:00,account_1_no_decay,54917.55846718132,55046.34845710899,3
2024-12-05 18:25:00+00:00,account_1_no_decay,54917.55846718132,55010.128852066824,3
2024-12-05 18:30:00+00:00,account_1_no_decay,54917.55846718132,55097.573239457946,3
2024-12-05 18:35:00+00:00,account_1_no_decay,54917.55846718132,55082.92652588164,4
2024-12-05 18:40:00+00:00,account_1_no_decay,55055.0246264369,55262.32479029695,3
2024-12-05 18:45:00+00:00,account_1_no_decay,55055.0246264369,55199.79984254116,3
2024-12-05 18:50:00+00:00,account_1_no_decay,55055.0246264369,55158.51080225569,4
2024-12-05 18:55:00+00:00,account_1_no_decay,55055.0246264369,55104.995271584776,4
2024-12-05 19:00:00+00:00,account_1_no_decay,55055.0246264369,55098.69220578802,4
2024-12-05 19:05:00+00:00,account_1_no_decay,55192.318522604844,55186.50854576066,4
2024-12-05 19:10:00+00:00,account_1_no_decay,55123.4997418218,55206.630177302555,3
2024-12-05 19:15:00+00:00,account_1_no_decay,55123.4997418218,55216.19688766587,3
2024-12-05 19:20:00+00:00,account_1_no_decay,55123.4997418218,55145.51942194582,4
